TUF ID,Chart,VFX,Misc
11778,C1,V0,
8803,C1,V0,
11212,C1,V0,
8687,C1,V0,
11832,C1,V1,
11343,C1,V0,
2653,C1,V0,
11917,C1,V1,
11918,C1,V1,
11919,C2,V1,
10957,C1,V0,
11653,C1,V0,
100,C1,V0,
162,C0,V0,
184,C1,V0,
199,C1,V0,
12048,C1,V1,
12045,C2,V1,
11930,C1,V0,
1258,C1,V0,
1293,C0,V0,
1711,C1,V0,
3841,C1,V0,
5056,C2,V0,
4208,C1,V0,
8384,C0,V0,
12168,C1,V0,
7869,C1,V1,
11597,C1,V0,
7508,C1,V0,
7169,C2,V0,
12246,C0,V2,
12245,C0,V0,
12244,C1,V1,
12288,C1,V1,
12289,C2,V2,
12290,C2,V1,
8135,C1,V0,
3810,C1,V0,
3930,C1,V0,
12260,C1,V2,
3734,C1,V1,
12366,C0,V0,
12324,C1,V0,
11856,C2,V0,
12376,C1,V2,
5011,C1,V1,
5010,C0,V1,
12162,C1,V1,
12213,C1,V0,
11235,C1,V0,
2499,C1,V0,
11063,C1,V1,
7358,C1,V0,
11858,C1,V0,
12273,C1,V0,
8039,C2,V0,
5754,C1,V0,
12459,C1,V1,
9080,C1,V0,
2137,C1,V0,
8834,C1,V1,
12582,C1,V1,
12424,C0,V0,
12702,C1,V0,
12371,C1,V0,
11143,C2,V0,
9642,C2,V0,
9558,C2,V0,
8998,C1,V0,
8578,C1,V0,
11003,C2,V0,
12746,C2,V0,
993,C1,V0,
1704,C1,V0,
12733,C2,V0,
12397,C1,V0,
48,C0,V0,H1
400,C2,V0,
1605,C1,V0,
286,C1,V0,
779,C1,V0,
2073,C0,V0,
7560,C0,V2,
988,C0,V0,H1
2388,C0,V0,
6088,C1,V0,
6089,C0,V0,
3935,C1,V2,
209,C1,V0,
119,C0,V0,
216,C0,V1,
6508,C0,V1,
9750,C0,V1,
45,C0,V0,
6384,C1,V0,
6756,C0,V0,
9945,C1,V0,
9946,C0,V0,
9947,C0,V0,
9951,C0,V0,
121,C0,V1,
4604,C0,V2,
4607,C0,V1,
4152,C0,V2,
6492,C0,V0,
6490,C1,V0,
6494,C1,V0,
6497,C0,V0,
6498,C0,V0,
6499,C0,V0,
6500,C0,V0,
10232,C0,V1,
10238,C1,V2,
4289,C0,V0,
10261,C0,V0,
10284,C0,V0,
10269,C0,V1,
10286,C0,V1,
1279,C0,V0,
1280,C0,V0,
727,C0,V0,
747,C0,V0,
8984,C0,V0,
9534,C0,V0,
6284,C0,V0,
7309,C0,V0,
8243,C0,V0,
10375,C0,V0,
2160,C0,V1,
2554,C0,V1,
7581,C0,V0,
7706,C1,V0,
9344,C1,V0,
9346,C1,V0,
5702,C0,V0,
8810,C0,V0,
241,C0,V1,
10421,C0,V0,
10422,C0,V0,
7063,C0,V0,
141,C1,V0,
146,C0,V0,H1
859,C0,V0,
1182,C0,V0,
500,C0,V0,
10501,C1,V0,
839,C0,V1,
991,C0,V0,
10493,C0,V0,
10495,C0,V0,
2335,C0,V0,
10497,C0,V1,
10498,C0,V1,
3675,C0,V0,
10392,C0,V0,
2834,C0,V0,
6587,C0,V0,
7112,C1,V0,
8430,C1,V1,
5685,C0,V0,
1469,C0,V0,
9480,C0,V0,
10187, C1,V0,
7883,C0,V0,
7884,C0,V0,
7654,C0,V1,
7479,C0,V0,
5805,C0,V0,
10410,O1,V0,
9752,C1,V1,
5416,C0,V0,
8195,C1,V0,
3515,C0,V0,
3155,C0,V0,
6280,C1,V0,
8975,C1,V1,
